Dep,Flight,Carrier,Destination,Departure,Status
Arr,Flight,Carrier,Origin,Arrival,Status
Arr,MS 9442$^,EgyptAir,(JNB) Johannesburg,12:05 PM,Landed
Arr,SK 9374$^,SAS,(JNB) Johannesburg,12:05 PM,Landed
Arr,BP 233,Air Botswana,(GBE) Gaborone,12:15 PM,Scheduled
Arr,JE 337,Mango,(DUR) Durban,12:40 PM,Scheduled
Arr,SA 2111$^,South African Airways,(DUR) Durban,12:40 PM,Scheduled
Arr,BA 6409,British Airways,(JNB) Johannesburg,12:45 PM,En Route
Arr,CX 7313$^,Cathay Pacific,(JNB) Johannesburg,12:45 PM,En Route
Arr,QR 6328$^,Qatar Airways,(JNB) Johannesburg,12:45 PM,En Route
Arr,MN 135,Comair,(JNB) Johannesburg,1:00 PM,"Landed$$$                                        Delayed"
Arr,SW 713,Air Namibia,(WVB) Walvis Bay,1:05 PM,Scheduled
Arr,JE 135,Mango,(JNB) Johannesburg,1:35 PM,Scheduled
Arr,SA 2001$^,South African Airways,(JNB) Johannesburg,1:35 PM,Scheduled
Arr,DT 579,TAAG,(LAD) Luanda,1:40 PM,Landed
Arr,SA 7040$^,South African Airways,(LAD) Luanda,1:40 PM,Landed
Arr,ET 847,Ethiopian Airlines,(ADD) Addis Ababa,1:45 PM,Landed
Arr,AI 7585$^,Air India,(ADD) Addis Ababa,1:45 PM,Landed
Arr,SA 7190$^,South African Airways,(ADD) Addis Ababa,1:45 PM,Landed
Arr,SQ 6069$^,Singapore Airlines,(ADD) Addis Ababa,1:45 PM,Landed
Arr,FA* 212,Safair,(JNB) Johannesburg,1:45 PM,Landed
Arr,SA 8632,South African Airways,(GRJ) George,1:50 PM,Landed
Arr,SA 8652,South African Airways,(SZK) Skukuza,1:55 PM,En Route
Arr,SA 8682,South African Airways,(ELS) East London,2:15 PM,En Route
Arr,MN 704,Comair,(DUR) Durban,2:15 PM,Landed
Arr,AF 6654$^,Air France,(DUR) Durban,2:15 PM,Landed
Arr,JE 339,Mango,(DUR) Durban,2:25 PM,En Route
Arr,SA 2115$^,South African Airways,(DUR) Durban,2:25 PM,En Route
Arr,JE 139,Mango,(JNB) Johannesburg,2:35 PM,"En Route$$$                                        Delayed"
Arr,FA* 131,Safair,(PLZ) Port Elizabeth,2:40 PM,Scheduled
Arr,SA 8691,South African Airways,(VFA) Victoria Falls,2:40 PM,En Route
Arr,BA 6417,British Airways,(JNB) Johannesburg,2:50 PM,En Route
Arr,QR 6330$^,Qatar Airways,(JNB) Johannesburg,2:50 PM,En Route
Dep,Flight,Carrier,Destination,Departure,Status
Dep,SA 346,South African Airways,(JNB) Johannesburg,3:05 PM,Scheduled
Dep,B6 5204$^,JetBlue Airways,(JNB) Johannesburg,3:05 PM,Scheduled
Dep,LH 9541$^,Lufthansa,(JNB) Johannesburg,3:05 PM,Scheduled
Dep,LX 4143$^,SWISS,(JNB) Johannesburg,3:05 PM,Scheduled
Dep,UA 7234$^,United Airlines,(JNB) Johannesburg,3:05 PM,Scheduled
Dep,JE 156,Mango,(JNB) Johannesburg,3:10 PM,Scheduled
Dep,FA* 122,Safair,(JNB) Johannesburg,3:20 PM,Scheduled
Dep,SA 8675,South African Airways,(PLZ) Port Elizabeth,3:25 PM,Scheduled
Dep,SA 352,South African Airways,(JNB) Johannesburg,3:50 PM,Scheduled
Dep,AC 6857$^,Air Canada,(JNB) Johannesburg,3:50 PM,Scheduled
Dep,LX 4135$^,SWISS,(JNB) Johannesburg,3:50 PM,Scheduled
Dep,UA 7244$^,United Airlines,(JNB) Johannesburg,3:50 PM,Scheduled
Dep,WB 111,RwandAir,(HRE) Harare,4:00 PM,Scheduled
Dep,BA 6418,British Airways,(JNB) Johannesburg,4:00 PM,Scheduled
Dep,IB 7684$^,Iberia,(JNB) Johannesburg,4:00 PM,Scheduled
Dep,QR 6341$^,Qatar Airways,(JNB) Johannesburg,4:00 PM,Scheduled
Dep,DT 580,TAAG,(LAD) Luanda,4:20 PM,Scheduled
Dep,SA 7039$^,South African Airways,(LAD) Luanda,4:20 PM,Scheduled
Dep,SA 8617,South African Airways,(KIM) Kimberley,4:25 PM,Scheduled
Dep,SA 8665,South African Airways,(MQP) Nelspruit,4:30 PM,Scheduled
Dep,SA 1057,South African Airways,(BFN) Bloemfontein,4:30 PM,Scheduled
Dep,MN 464,Comair,(HLA) Lanseria,4:30 PM,Scheduled
Dep,FA* 136,Safair,(PLZ) Port Elizabeth,4:35 PM,Scheduled
Dep,SA 8641,South African Airways,(UTN) Upington,4:35 PM,Scheduled
Dep,FA* 120,Safair,(JNB) Johannesburg,4:40 PM,Scheduled
Dep,SA 8635,South African Airways,(GRJ) George,4:50 PM,Scheduled
Dep,SA 354,South African Airways,(JNB) Johannesburg,4:55 PM,Scheduled
Dep,B6 5206$^,JetBlue Airways,(JNB) Johannesburg,4:55 PM,Scheduled
Dep,LX 4130$^,SWISS,(JNB) Johannesburg,4:55 PM,Scheduled
